id_dmr	root_mC	leaf_mC	adj_p	fold_change	status
dmr_22286_CG	0.559666666666667	0.6695	0.0987198382145603	1.1962477665277	equal
dmr_22287_CG	0.880333333333333	0.5275	1.14517791917194e-10	1.66887835703002	equal
dmr_22288_CG	0.655666666666667	0.599	3.19008701704237e-05	1.0946021146355	equal
dmr_22289_CG	0.914	0.9105	0.0101823601598662	1.00384404173531	equal
dmr_2228_CG	0.550666666666667	0.8565	0.000604215645431261	1.55538740920097	equal
dmr_2228_CHG	0.151333333333333	0.253	0.0150721405581263	1.67180616740088	equal
dmr_22290_CG	0.917666666666667	0.849	0.000512492022882218	1.08087946603848	equal
dmr_22291_CG	0.926	0.888	3.75573651275994e-20	1.04279279279279	equal
dmr_22292_CG	0.877666666666667	0.7395	0.000119787590273371	1.18683795357223	equal
dmr_22293_CG	0.877666666666667	0.7395	0.000119787590273371	1.18683795357223	equal
dmr_22294_CG	0.953	0.743	1.27087084495317e-06	1.28263795423957	equal
dmr_22295_CG	0.953	0.743	1.27087084495317e-06	1.28263795423957	equal
dmr_22296_CG	0.903333333333333	0.9425	0.142998185013628	1.04335793357934	equal
dmr_22297_CG	0.800333333333333	0.693	2.81942777524923e-09	1.15488215488215	equal
dmr_22298_CG	0.907333333333333	0.838	0.0195587993318151	1.08273667462212	equal
dmr_22299_CG	0.712666666666667	0.7195	0.113755993911344	1.00958840037418	equal
dmr_2229_CG	0.786	0.782	1.42008858185332e-10	1.00511508951407	equal
dmr_2229_CHG	0.371333333333333	0.306	0.347324099831997	1.21350762527233	equal
dmr_222_CG	0.940666666666667	0.94	0.00893453157553549	1.00070921985816	equal
dmr_222_CHG	0.468666666666667	0.3545	1.41550659438597e-35	1.32204983544899	equal
dmr_222_CHH	0.130666666666667	0.017	0.859801732254829	7.68627450980392	equal
dmr_22300_CG	0.959666666666667	0.9335	1.08378722416831e-05	1.028030708802	equal
dmr_22301_CG	0.967	0.898	3.69014781915698e-06	1.07683741648107	equal
dmr_22302_CG	0.9	0.8695	4.33114412442068e-05	1.03507763082231	equal
dmr_22303_CG	0.841333333333333	0.8125	0.471352969517265	1.03548717948718	equal
dmr_22304_CG	0.225666666666667	0.2425	0.0486352217480992	1.07459379615953	equal
dmr_22305_CG	0.891666666666667	0.802	0.0027172871966391	1.1118038237739	equal
dmr_22306_CG	0.892333333333333	0.9165	0.108696740919869	1.02708255509899	equal
dmr_22307_CG	0.54	0.639	0.621291504495947	1.18333333333333	equal
dmr_22308_CG	0.586	0.6755	0.641935363683758	1.15273037542662	equal
dmr_22309_CG	0.936333333333333	0.8095	1.75290754743875e-11	1.15668107885526	equal
dmr_2230_CG	0.00633333333333333	0.016	1.53162090080833e-78	2.52631578947368	equal
dmr_2230_CHG	0.387333333333333	0.268	0.0606628536213044	1.4452736318408	equal
dmr_22310_CG	0.814333333333333	0.896	0.733188169302048	1.10028653295129	equal
dmr_22311_CG	0.627	0.7135	0.500415666222473	1.13795853269537	equal
dmr_22312_CG	0.312333333333333	0.2565	0.929019052444589	1.21767381416504	equal
dmr_22313_CG	0.952666666666667	0.6395	1.11438820768199e-43	1.48970549908783	equal
dmr_22314_CG	0.950666666666667	0.9325	1.73612203240894e-06	1.01948168007149	equal
dmr_22315_CG	0.0873333333333333	0.5395	9.74812298169486e-52	6.17748091603053	dm
dmr_22316_CG	0.0873333333333333	0.5395	9.74812298169486e-52	6.17748091603053	dm
dmr_22317_CG	0.0873333333333333	0.5395	9.74812298169486e-52	6.17748091603053	dm
