pheno_name	pool	p	q	n	entropy	p_val
Family_Ferrovibrionaceae	2	0	7	16	0	1
Family_Fibrobacteraceae	1	21	0	31	0	1
Family_Fibrobacteraceae	2	2	0	16	0	1
Family_Fimbriimonadaceae	1	11	0	31	0	1
Family_Fimbriimonadaceae	2	7	0	16	0	1
Family_Flavobacteriaceae	1	0	10	31	0	1
Family_Flavobacteriaceae	2	0	6	16	0	1
Family_Fodinicurvataceae	1	14	0	31	0	1
Family_Fodinicurvataceae	2	1	0	16	0	1
Family_Frankiaceae	1	0	6	31	0	1
Family_Frankiaceae	2	1	0	16	0	1
Family_Gaiellaceae	1	0	5	31	0	1
Family_Gaiellaceae	2	1	3	16	0.702819531114783	0.0393730297723292
Family_Geminicoccaceae	1	0	8	31	0	1
Family_Geminicoccaceae	2	0	5	16	0	1
Family_Gemmataceae	1	0	23	31	0	1
Family_Gemmataceae	2	3	5	16	0.977217001462483	1
Family_Gemmatimonadaceae	1	24	0	31	0	1
Family_Gemmatimonadaceae	2	13	0	16	0	1
Family_Geobacteraceae	1	11	0	31	0	1
Family_Geobacteraceae	2	0	3	16	0	1
Family_Glycomycetaceae	1	1	8	31	0.664121509467157	0
Family_Glycomycetaceae	2	0	6	16	0	1
Family_Gracilibacter	1	12	0	31	0	1
Family_Gracilibacter	2	3	1	16	0.702819531114783	0.0315347159603246
Family_Halanaerobiaceae	1	7	1	31	0.64458342028038	0
Family_Halanaerobiaceae	2	0	4	16	0	1
Family_Haliangiaceae	1	0	12	31	0	1
Family_Haliangiaceae	2	3	3	16	0.905639062229566	0.460831625183016
Family_Haloplasmataceae	1	7	0	31	0	1
Family_Haloplasmataceae	2	4	0	16	0	1
Family_Heliobacteriaceae	1	0	9	31	0	1
Family_Heliobacteriaceae	2	0	3	16	0	1
Family_Herpetosiphonaceae	1	0	5	31	0	1
Family_Herpetosiphonaceae	2	0	4	16	0	1
Family_Holosporaceae	1	11	0	31	0	1
Family_Holosporaceae	2	0	2	16	0	1
Family_Hungateiclostridiaceae	1	17	1	31	0.635118235022838	0
Family_Hungateiclostridiaceae	2	5	1	16	0.774397470347699	0.101165109034268
Family_Hydrogenedensaceae	1	4	0	31	0	1
Family_Hydrogenedensaceae	2	3	0	16	0	1
Family_Hydrogenoanaerobacterium	1	4	0	31	0	1
Family_Hydrogenoanaerobacterium	2	5	0	16	0	1
Family_Hyphomicrobiaceae	1	0	14	31	0	1
Family_Hyphomicrobiaceae	2	1	5	16	0.774397470347699	0.107606153846154
Family_Hyphomonadaceae	1	3	5	31	0.750614274403056	0
Family_Hyphomonadaceae	2	6	0	16	0	1
Family_Iamiaceae	1	0	19	31	0	1
Family_Iamiaceae	2	4	1	16	0.75	0.0581413133832086
Family_Ilumatobacteraceae	1	0	22	31	0	1
Family_Ilumatobacteraceae	2	0	5	16	0	1
Family_Inquilinaceae	1	1	4	31	0.540999404901109	0
Family_Inquilinaceae	2	0	5	16	0	1
Family_Intrasporangiaceae	1	0	27	31	0	1
Family_Intrasporangiaceae	2	0	8	16	0	1
Family_Isosphaeraceae	1	7	1	31	0.64458342028038	0
Family_Isosphaeraceae	2	0	3	16	0	1
Family_JG30-KF-CM45	1	3	6	31	0.784616267322306	0.0055449500554939
Family_JG30-KF-CM45	2	0	6	16	0	1
Family_Jonesiaceae	1	3	1	31	0.485867669012388	0
Family_Jonesiaceae	2	0	4	16	0	1
Family_KD3-93	1	10	0	31	0	1
Family_KD3-93	2	2	1	16	0.625	0.0105847457627119
Family_KF-JG30-B3	1	1	7	31	0.64458342028038	0
Family_KF-JG30-B3	2	0	3	16	0	1
Family_KI89A_clade	1	1	6	31	0.618374166721974	0
Family_KI89A_clade	2	0	5	16	0	1
Family_Kaistiaceae	1	16	0	31	0	1
Family_Kaistiaceae	2	1	1	16	0.5	0.0105847457627119
Family_Kiloniellaceae	1	6	3	31	0.784616267322306	0.0055449500554939
Family_Kiloniellaceae	2	0	3	16	0	1
Family_Ktedonobacteraceae	1	22	0	31	0	1
Family_Ktedonobacteraceae	2	0	6	16	0	1
Family_Kyrpidiaceae	1	4	0	31	0	1
Family_Kyrpidiaceae	2	0	6	16	0	1
Family_Labraceae	1	7	0	31	0	1
Family_Labraceae	2	0	12	16	0	1
Family_Lachnospiraceae	1	14	0	31	0	1
Family_Lachnospiraceae	2	6	1	16	0.780639062229566	0.143281509433962
Family_Legionellaceae	1	6	6	31	0.917122765031891	0.107606153846154
Family_Legionellaceae	2	4	1	16	0.75	0.0691628664495114
Family_Lentimicrobiaceae	1	1	1	31	0.319625568412056	0
Family_Lentimicrobiaceae	2	0	7	16	0	1
Family_Leptospiraceae	1	13	0	31	0	1
Family_Leptospiraceae	2	1	3	16	0.702819531114783	0.0355271111111111
Family_Limnochordaceae	1	0	9	31	0	1
Family_Limnochordaceae	2	1	0	16	0	1
Family_Longimicrobiaceae	1	7	1	31	0.64458342028038	0
Family_Longimicrobiaceae	2	5	0	16	0	1
Family_Lutispora	1	5	0	31	0	1
Family_Lutispora	2	7	0	16	0	1
Family_Magnetospiraceae	1	14	1	31	0.677741153128925	0
Family_Magnetospiraceae	2	3	0	16	0	1
Family_Magnetospirillaceae	1	0	13	31	0	1
Family_Magnetospirillaceae	2	0	5	16	0	1
Family_Marinilabiliaceae	1	31	0	31	0	1
Family_Marinilabiliaceae	2	16	0	16	0	1
Family_Methanobacteriaceae	1	0	3	31	0	1
Family_Methanobacteriaceae	2	7	0	16	0	1
Family_Methanocellaceae	1	3	0	31	0	1
Family_Methanocellaceae	2	0	6	16	0	1
Family_Methanomassiliicoccaceae	1	0	2	31	0	1
Family_Methanomassiliicoccaceae	2	0	0	16	0	1
Family_Methanomicrobiaceae	1	2	0	31	0	1
Family_Methanomicrobiaceae	2	0	6	16	0	1
Family_Methanosarcinaceae	1	1	0	31	0	1
Family_Methanosarcinaceae	2	5	1	16	0.774397470347699	0.0979607843137255
Family_Methylacidiphilaceae	1	12	0	31	0	1
Family_Methylacidiphilaceae	2	1	2	16	0.625	0.0196692913385827
Family_Methylococcaceae	1	2	1	31	0.414922223585827	0
Family_Methylococcaceae	2	0	1	16	0	1
Family_Methylomonadaceae	1	0	14	31	0	1
Family_Methylomonadaceae	2	0	7	16	0	1
Family_Methylophilaceae	1	24	0	31	0	1
Family_Methylophilaceae	2	0	2	16	0	1
Family_Micavibrionaceae	1	10	2	31	0.781647573411899	0.0055449500554939
Family_Micavibrionaceae	2	0	2	16	0	1
Family_Microbacteriaceae	1	0	18	31	0	1
Family_Microbacteriaceae	2	1	1	16	0.5	0.0055449500554939
Family_Micrococcaceae	1	1	3	31	0.485867669012388	0
Family_Micrococcaceae	2	2	2	16	0.75	0.0393730297723292
Family_Micromonosporaceae	1	2	1	31	0.414922223585827	0
